chunk_id,doc_id,chunk_text,effective_date,exported_at,reason,effective_date_normalized,hr_leave_cutoff_used
<<<<<<< HEAD,,,,,unknown_doc_id,,
2,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2026-02-01,2026-04-10T08:00:00,duplicate_chunk_text,,
5,policy_refund_v4,,,2026-04-10T08:00:00,missing_effective_date,,
7,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2025-01-01,2026-04-10T08:00:00,stale_hr_policy_effective_date,2025-01-01,2026-01-01
9,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2026-02-01,2026-04-10T08:00:00,unknown_doc_id,,
=======,,,,,unknown_doc_id,,
1,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2026-02-01,2026-04-15T08:00:00,duplicate_chunk_text,,
2,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2026-02-01,2026-04-15T08:00:00,duplicate_chunk_text,,
3,policy_refund_v4,Yêu cầu hoàn tiền được chấp nhận trong vòng 14 ngày làm việc kể từ xác nhận đơn (ghi chú: bản sync cũ policy-v3 — lỗi migration).,2026-02-01,2026-04-15T08:00:00,duplicate_chunk_text,,
4,sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2026-02-01,2026-04-15T08:00:00,duplicate_chunk_text,,
5,policy_refund_v4,,,2026-04-15T08:00:00,missing_effective_date,,
6,it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2026-02-01,2026-04-15T08:00:00,duplicate_chunk_text,,
7,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).,2025-01-01,2026-04-15T08:00:00,stale_hr_policy_effective_date,2025-01-01,2026-01-01
8,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 12 ngày phép năm theo chính sách 2026.,2026-02-01,2026-04-15T08:00:00,duplicate_chunk_text,,
9,legacy_catalog_xyz_zzz,Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.,2026-02-01,2026-04-15T08:00:00,unknown_doc_id,,
10,it_helpdesk_faq,FAQ bổ sung: đổi mật khẩu qua portal self-service có thể mất tối đa 24 giờ để đồng bộ toàn hệ thống.,01/02/2026,2026-04-15T08:00:00,duplicate_chunk_text,,
>>>>>>> origin/nxhai,,,,,unknown_doc_id,,
